Unnamed: 0;val_ids;val_gt_size;dumbpredwtags;dumbpredwtags2;dumbprednotags2;m8;dumbpredwtags3;dumbpredwtags4;dumbpredwtags5;dumbpredwtags6;m6;m4;m2;dumbprednotags3;dumbpredselect2
102;Subj_0_18.png;[64079, 1457];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62913.4, 2622.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63204.8, 2331.2000000000003];[63496.2, 2039.8];[63787.6, 1748.3999999999999];[63754, 1782];[63754, 1782]
74;Subj_0_19.png;[64120, 1416];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62987.2, 2548.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63270.4, 2265.6];[63553.6, 1982.3999999999999];[63836.8, 1699.2];[63754, 1782];[63754, 1782]
82;Subj_0_2.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
12;Subj_0_20.png;[64163, 1373];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63064.6, 2471.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63339.2, 2196.8];[63613.8, 1922.1999999999998];[63888.4, 1647.6];[63754, 1782];[63754, 1782]
29;Subj_0_21.png;[64207, 1329];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63143.8, 2392.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63409.6, 2126.4];[63675.4, 1860.6];[63941.2, 1594.8];[63754, 1782];[63754, 1782]
68;Subj_0_22.png;[64283, 1253];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63280.6, 2255.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63531.2, 2004.8000000000002];[63781.8, 1754.1999999999998];[64032.4, 1503.6];[63754, 1782];[63754, 1782]
107;Subj_0_23.png;[64343, 1193];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63388.6, 2147.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63627.2, 1908.8000000000002];[63865.8, 1670.1999999999998];[64104.4, 1431.6];[63754, 1782];[63754, 1782]
106;Subj_0_24.png;[64418, 1118];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63523.6, 2012.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63747.2, 1788.8000000000002];[63970.8, 1565.1999999999998];[64194.4, 1341.6];[63754, 1782];[63754, 1782]
69;Subj_0_25.png;[64637, 899];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63917.8, 1618.2];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64097.6, 1438.4];[64277.4, 1258.6];[64457.2, 1078.8];[63754, 1782];[63754, 1782]
28;Subj_0_26.png;[64741, 795];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64105.0, 1431.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64264.0, 1272.0];[64423.0, 1113.0];[64582.0, 954.0];[63754, 1782];[63754, 1782]
14;Subj_0_27.png;[64994, 542];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64560.4, 975.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64668.8, 867.2];[64777.2, 758.8];[64885.6, 650.4];[63754, 1782];[63754, 1782]
32;Subj_0_28.png;[65157, 379];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64853.8, 682.2];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64929.6, 606.4];[65005.4, 530.6];[65081.2, 454.8];[63754, 1782];[63754, 1782]
10;Subj_0_29.png;[65277, 259];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65069.8, 466.2];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65121.6, 414.40000000000003];[65173.4, 362.59999999999997];[65225.2, 310.8];[63754, 1782];[63754, 1782]
67;Subj_0_3.png;[65473, 63];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65422.6, 113.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65435.2, 100.80000000000001];[65447.8, 88.19999999999999];[65460.4, 75.6];[63754, 1782];[0,0]
50;Subj_0_30.png;[65381, 155];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65257.0, 279.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65288.0, 248.0];[65319.0, 217.0];[65350.0, 186.0];[63754, 1782];[0,0]
16;Subj_0_31.png;[65471, 65];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65419.0, 117.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65432.0, 104.0];[65445.0, 91.0];[65458.0, 78.0];[63754, 1782];[0,0]
81;Subj_0_32.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
66;Subj_0_33.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
64;Subj_0_34.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
83;Subj_0_35.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
65;Subj_0_4.png;[65358, 178];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65215.6, 320.40000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65251.2, 284.8];[65286.8, 249.2];[65322.4, 213.6];[63754, 1782];[0,0]
84;Subj_0_5.png;[65203, 333];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64936.6, 599.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65003.2, 532.8000000000001];[65069.8, 466.2];[65136.4, 399.59999999999997];[63754, 1782];[63754, 1782]
15;Subj_0_6.png;[65053, 483];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64666.6, 869.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64763.2, 772.8000000000001];[64859.8, 676.1999999999999];[64956.4, 579.6];[63754, 1782];[63754, 1782]
53;Subj_0_7.png;[64810, 726];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64229.2, 1306.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64374.4, 1161.6000000000001];[64519.6, 1016.4];[64664.8, 871.1999999999999];[63754, 1782];[63754, 1782]
22;Subj_0_8.png;[64675, 861];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63986.2, 1549.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64158.4, 1377.6000000000001];[64330.6, 1205.3999999999999];[64502.8, 1033.2];[63754, 1782];[63754, 1782]
47;Subj_0_9.png;[64446, 1090];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63574.0, 1962.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63792.0, 1744.0];[64010.0, 1526.0];[64228.0, 1308.0];[63754, 1782];[63754, 1782]
311;Subj_10_0.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
452;Subj_10_1.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
432;Subj_10_10.png;[64381, 1155];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63457.0, 2079.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63688.0, 1848.0];[63919.0, 1617.0];[64150.0, 1386.0];[63754, 1782];[63754, 1782]
320;Subj_10_11.png;[64244, 1292];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63210.4, 2325.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63468.8, 2067.2000000000003];[63727.2, 1808.8];[63985.6, 1550.3999999999999];[63754, 1782];[63754, 1782]
152;Subj_10_12.png;[64144, 1392];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63030.4, 2505.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63308.8, 2227.2000000000003];[63587.2, 1948.8];[63865.6, 1670.3999999999999];[63754, 1782];[63754, 1782]
8;Subj_10_13.png;[64208, 1328];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63145.6, 2390.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63411.2, 2124.8];[63676.8, 1859.1999999999998];[63942.4, 1593.6];[63754, 1782];[63754, 1782]
24;Subj_10_14.png;[64073, 1463];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62902.6, 2633.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63195.2, 2340.8];[63487.8, 2048.2];[63780.4, 1755.6];[63754, 1782];[63754, 1782]
147;Subj_10_15.png;[64054, 1482];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62868.4, 2667.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63164.8, 2371.2000000000003];[63461.2, 2074.7999999999997];[63757.6, 1778.3999999999999];[63754, 1782];[63754, 1782]
333;Subj_10_16.png;[64039, 1497];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62841.4, 2694.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63140.8, 2395.2000000000003];[63440.2, 2095.7999999999997];[63739.6, 1796.3999999999999];[63754, 1782];[63754, 1782]
426;Subj_10_17.png;[64020, 1516];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62807.2, 2728.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63110.4, 2425.6];[63413.6, 2122.4];[63716.8, 1819.2];[63754, 1782];[63754, 1782]
343;Subj_10_18.png;[64004, 1532];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62778.4, 2757.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63084.8, 2451.2000000000003];[63391.2, 2144.7999999999997];[63697.6, 1838.3999999999999];[63754, 1782];[63754, 1782]
419;Subj_10_19.png;[64032, 1504];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62828.8, 2707.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63129.6, 2406.4];[63430.4, 2105.6];[63731.2, 1804.8];[63754, 1782];[63754, 1782]
31;Subj_10_2.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
141;Subj_10_20.png;[64223, 1313];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63172.6, 2363.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63435.2, 2100.8];[63697.8, 1838.1999999999998];[63960.4, 1575.6];[63754, 1782];[63754, 1782]
34;Subj_10_21.png;[64095, 1441];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62942.2, 2593.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63230.4, 2305.6];[63518.6, 2017.3999999999999];[63806.8, 1729.2];[63754, 1782];[63754, 1782]
453;Subj_10_22.png;[64171, 1365];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63079.0, 2457.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63352.0, 2184.0];[63625.0, 1910.9999999999998];[63898.0, 1638.0];[63754, 1782];[63754, 1782]
312;Subj_10_23.png;[64285, 1251];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63284.2, 2251.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63534.4, 2001.6000000000001];[63784.6, 1751.3999999999999];[64034.8, 1501.2];[63754, 1782];[63754, 1782]
317;Subj_10_24.png;[64425, 1111];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63536.2, 1999.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63758.4, 1777.6000000000001];[63980.6, 1555.3999999999999];[64202.8, 1333.2];[63754, 1782];[63754, 1782]
443;Subj_10_25.png;[64635, 901];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63914.2, 1621.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64094.4, 1441.6000000000001];[64274.6, 1261.3999999999999];[64454.8, 1081.2];[63754, 1782];[63754, 1782]
39;Subj_10_26.png;[64763, 773];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64144.6, 1391.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64299.2, 1236.8000000000002];[64453.8, 1082.1999999999998];[64608.4, 927.5999999999999];[63754, 1782];[63754, 1782]
131;Subj_10_27.png;[64834, 702];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64272.4, 1263.6000000000001];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64412.8, 1123.2];[64553.2, 982.8];[64693.6, 842.4];[63754, 1782];[63754, 1782]
47;Subj_10_28.png;[65108, 428];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64765.6, 770.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64851.2, 684.8000000000001];[64936.8, 599.1999999999999];[65022.4, 513.6];[63754, 1782];[63754, 1782]
123;Subj_10_29.png;[65259, 277];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65037.4, 498.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65092.8, 443.20000000000005];[65148.2, 387.79999999999995];[65203.6, 332.4];[63754, 1782];[63754, 1782]
138;Subj_10_3.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
84;Subj_10_30.png;[65369, 167];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[65235.4, 300.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[65268.8, 267.2];[65302.2, 233.79999999999998];[65335.6, 200.4];[63754, 1782];[0,0]
211;Subj_10_31.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
276;Subj_10_32.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[65536,0]
368;Subj_10_33.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[65536,0]
372;Subj_10_34.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
262;Subj_10_35.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
128;Subj_10_4.png;[65127, 409];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64799.8, 736.2];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64881.6, 654.4000000000001];[64963.4, 572.5999999999999];[65045.2, 490.79999999999995];[63754, 1782];[63754, 1782]
36;Subj_10_5.png;[64858, 678];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64315.6, 1220.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64451.2, 1084.8];[64586.8, 949.1999999999999];[64722.4, 813.6];[63754, 1782];[63754, 1782]
442;Subj_10_6.png;[64734, 802];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[64092.4, 1443.6000000000001];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64252.8, 1283.2];[64413.2, 1122.8];[64573.6, 962.4];[63754, 1782];[63754, 1782]
316;Subj_10_7.png;[64580, 956];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63815.2, 1720.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[64006.4, 1529.6000000000001];[64197.6, 1338.3999999999999];[64388.8, 1147.2];[63754, 1782];[63754, 1782]
462;Subj_10_8.png;[64539, 997];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63741.4, 1794.6000000000001];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63940.8, 1595.2];[64140.2, 1395.8];[64339.6, 1196.3999999999999];[63754, 1782];[63754, 1782]
294;Subj_10_9.png;[64420, 1116];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63527.2, 2008.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63750.4, 1785.6000000000001];[63973.6, 1562.3999999999999];[64196.8, 1339.2];[63754, 1782];[63754, 1782]
245;Subj_11_0.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
393;Subj_11_1.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
102;Subj_11_10.png;[64342, 1194];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63386.8, 2149.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63625.6, 1910.4];[63864.4, 1671.6];[64103.2, 1432.8];[63754, 1782];[63754, 1782]
190;Subj_11_11.png;[64321, 1215];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63349.0, 2187.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63592.0, 1944.0];[63835.0, 1701.0];[64078.0, 1458.0];[63754, 1782];[63754, 1782]
259;Subj_11_12.png;[64241, 1295];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63205.0, 2331.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63464.0, 2072.0];[63723.0, 1812.9999999999998];[63982.0, 1554.0];[63754, 1782];[63754, 1782]
390;Subj_11_13.png;[64125, 1411];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62996.2, 2539.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63278.4, 2257.6];[63560.6, 1975.3999999999999];[63842.8, 1693.2];[63754, 1782];[63754, 1782]
394;Subj_11_14.png;[64177, 1359];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[63089.8, 2446.2000000000003];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63361.6, 2174.4];[63633.4, 1902.6];[63905.2, 1630.8];[63754, 1782];[63754, 1782]
244;Subj_11_15.png;[64093, 1443];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62938.6, 2597.4];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63227.2, 2308.8];[63515.8, 2020.1999999999998];[63804.4, 1731.6];[63754, 1782];[63754, 1782]
196;Subj_11_16.png;[63995, 1541];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62762.2, 2773.8];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63070.4, 2465.6000000000004];[63378.6, 2157.3999999999996];[63686.8, 1849.1999999999998];[63754, 1782];[63754, 1782]
88;Subj_11_17.png;[64031, 1505];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62827.0, 2709.0];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63128.0, 2408.0];[63429.0, 2107.0];[63730.0, 1806.0];[63754, 1782];[63754, 1782]
174;Subj_11_18.png;[64079, 1457];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62913.4, 2622.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63204.8, 2331.2000000000003];[63496.2, 2039.8];[63787.6, 1748.3999999999999];[63754, 1782];[63754, 1782]
110;Subj_11_19.png;[64084, 1452];[64636, 900];[64348.0, 1188.0];[64348.0, 1188.0];[62922.4, 2613.6];[63754.0, 1782.0];[63160.0, 2376.0];[62566.0, 2970.0];[61972.0, 3564.0];[63212.8, 2323.2000000000003];[63503.2, 2032.8];[63793.6, 1742.3999999999999];[63754, 1782];[63754, 1782]
89;Subj_11_2.png;[65536, 0];[65536, 0];[65536, 0];[64348.0, 1188.0];[65536.0, 0.0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536, 0];[65536.0, 0.0];[65536.0, 0.0];[65536.0, 0.0];[63754, 1782];[0,0]
