Unnamed: 0,val_ids,val_diff,val_squared_diff,val_gt_size,val_pred_size,reldiff,reldiffsim,predsizewtags,dumbpredwtags,dumbpredwtags2
808,Case00_18.nii,"[139683.484375, 7772.91650390625]",36420984.0,"[139683.0, 7773.0]","[0.4795173704624176, 0.08330301940441132]",1.0,1.0,"[147455.9166969806, 0.08330301940441132]","[140225, 8000]","[147018.0, 4372.0]"
553,Case00_19.nii,"[138978.484375, 8477.9365234375]",36205808.0,"[138978.0, 8478.0]","[0.47843390703201294, 0.06347104161977768]",1.0,1.0,"[147455.93652895838, 0.06347104161977768]","[140225, 8000]","[147018.0, 4372.0]"
418,Case00_2.nii,"[147456.5, 0.06907450407743454]",1287025.5,"[147456.0, 0.0]","[0.4955092668533325, 0.06907450407743454]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
29,Case00_20.nii,"[138168.484375, 9287.9248046875]",52387664.0,"[138168.0, 9288.0]","[0.47678834199905396, 0.07493802905082703]",1.0,1.0,"[147455.92506197095, 0.07493802905082703]","[140225, 8000]","[147018.0, 4372.0]"
276,Case00_21.nii,"[137730.453125, 9725.921875]",39572140.0,"[137730.0, 9726.0]","[0.4601980447769165, 0.07778943330049515]",1.0,1.0,"[147455.9222105667, 0.07778943330049515]","[140225, 8000]","[147018.0, 4372.0]"
604,Case00_22.nii,"[137469.46875, 9986.923828125]",30932100.0,"[137469.0, 9987.0]","[0.46450844407081604, 0.07589362561702728]",1.0,1.0,"[147455.92410637438, 0.07589362561702728]","[140225, 8000]","[147018.0, 4372.0]"
754,Case00_23.nii,"[137607.46875, 9848.9296875]",41454704.0,"[137607.0, 9849.0]","[0.4711490273475647, 0.07035740464925766]",1.0,1.0,"[147455.92964259535, 0.07035740464925766]","[140225, 8000]","[147018.0, 4372.0]"
774,Case00_24.nii,"[137042.46875, 10413.927734375]",47832864.0,"[137042.0, 10414.0]","[0.474932998418808, 0.07244978100061417]",1.0,1.0,"[147455.927550219, 0.07244978100061417]","[140225, 8000]","[147018.0, 4372.0]"
601,Case00_25.nii,"[137855.46875, 9600.94140625]",41732592.0,"[137855.0, 9601.0]","[0.46512433886528015, 0.058467987924814224]",1.0,1.0,"[147455.94153201208, 0.058467987924814224]","[140225, 8000]","[147018.0, 4372.0]"
297,Case00_26.nii,"[137619.453125, 9836.947265625]",42335244.0,"[137619.0, 9837.0]","[0.45757877826690674, 0.052627451717853546]",1.0,1.0,"[147455.94737254828, 0.052627451717853546]","[140225, 8000]","[147018.0, 4372.0]"
26,Case00_27.nii,"[137834.46875, 9621.9365234375]",32395756.0,"[137834.0, 9622.0]","[0.46380800008773804, 0.06353053450584412]",1.0,1.0,"[147455.9364694655, 0.06353053450584412]","[140225, 8000]","[147018.0, 4372.0]"
308,Case00_28.nii,"[139871.46875, 7584.927734375]",14382782.0,"[139871.0, 7585.0]","[0.4638981223106384, 0.07210806757211685]",1.0,1.0,"[147455.92789193243, 0.07210806757211685]","[140225, 8000]","[147018.0, 4372.0]"
16,Case00_29.nii,"[140294.453125, 7161.9375]",23231032.0,"[140294.0, 7162.0]","[0.45653101801872253, 0.0626482367515564]",1.0,1.0,"[147455.93735176325, 0.0626482367515564]","[140225, 8000]","[147018.0, 4372.0]"
104,Case00_3.nii,"[147456.484375, 0.09214652329683304]",14082616.0,"[147456.0, 0.0]","[0.47858089208602905, 0.09214652329683304]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
362,Case00_30.nii,"[141202.46875, 6253.9375]",9777934.0,"[141202.0, 6254.0]","[0.4654117226600647, 0.062336720526218414]",1.0,1.0,"[147455.93766327947, 0.062336720526218414]","[140225, 8000]","[147018.0, 4372.0]"
175,Case00_31.nii,"[142536.453125, 4919.95361328125]",6051486.0,"[142536.0, 4920.0]","[0.4587591886520386, 0.04615931957960129]",1.0,1.0,"[147455.95384068042, 0.04615931957960129]","[140225, 8000]","[147018.0, 4372.0]"
707,Case00_32.nii,"[144391.46875, 3064.927978515625]",7962824.5,"[144391.0, 3065.0]","[0.46522656083106995, 0.07205261290073395]",1.0,1.0,"[147455.9279473871, 0.07205261290073395]","[140225, 8000]","[147018.0, 4372.0]"
461,Case00_33.nii,"[145477.453125, 1978.9176025390625]",979028.75,"[145477.0, 1979.0]","[0.45423170924186707, 0.08245586603879929]",1.0,1.0,"[147455.91754413396, 0.08245586603879929]","[140225, 8000]","[147018.0, 4372.0]"
474,Case00_34.nii,"[145668.453125, 1787.9326171875]",1173557.625,"[145668.0, 1788.0]","[0.45706528425216675, 0.06736195087432861]",1.0,1.0,"[147455.93263804913, 0.06736195087432861]","[140225, 8000]","[147018.0, 4372.0]"
699,Case00_35.nii,"[146768.453125, 687.9322509765625]",1397050.75,"[146768.0, 688.0]","[0.4571970999240875, 0.06775964051485062]",0.9999,0.9999,"[147455.93224035949, 0.06775964051485062]","[140225, 8000]","[147018.0, 4372.0]"
190,Case00_36.nii,"[147293.4375, 162.92799377441406]",68664000.0,"[147293.0, 163.0]","[0.4448576867580414, 0.07200085371732712]",0.9996,0.9996,"[147455.92799914628, 0.07200085371732712]","[140225, 8000]","[147018.0, 4372.0]"
353,Case00_37.nii,"[147456.453125, 0.07267872244119644]",9177663.0,"[147456.0, 0.0]","[0.4608299732208252, 0.07267872244119644]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
204,Case00_38.nii,"[147456.453125, 0.07409453392028809]",935021.375,"[147456.0, 0.0]","[0.4457140564918518, 0.07409453392028809]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
342,Case00_39.nii,"[147456.453125, 0.05877174064517021]",3892601.75,"[147456.0, 0.0]","[0.4459696114063263, 0.05877174064517021]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
128,Case00_4.nii,"[147456.46875, 0.08989758044481277]",6969455.5,"[147456.0, 0.0]","[0.47495025396347046, 0.08989758044481277]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
721,Case00_40.nii,"[147456.4375, 0.05219192057847977]",0.0046,"[147456.0, 0.0]","[0.44424915313720703, 0.05219192057847977]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
455,Case00_41.nii,"[147456.4375, 0.05180254578590393]",62401736.0,"[147456.0, 0.0]","[0.4423232972621918, 0.05180254578590393]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
328,Case00_42.nii,"[147456.453125, 0.05043814331293106]",60046508.0,"[147456.0, 0.0]","[0.447330117225647, 0.05043814331293106]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
215,Case00_43.nii,"[147456.453125, 0.04708332195878029]",55733288.0,"[147456.0, 0.0]","[0.4506823718547821, 0.04708332195878029]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
197,Case00_44.nii,"[147456.4375, 0.04725660756230354]",5015206.0,"[147456.0, 0.0]","[0.44190359115600586, 0.04725660756230354]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
334,Case00_45.nii,"[147456.4375, 0.05981910973787308]",6282372.0,"[147456.0, 0.0]","[0.444941908121109, 0.05981910973787308]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
437,Case00_46.nii,"[147456.453125, 0.044477809220552444]",0.0051,"[147456.0, 0.0]","[0.4573945999145508, 0.044477809220552444]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
410,Case00_5.nii,"[147456.484375, 0.08892311155796051]",0.0037,"[147456.0, 0.0]","[0.48140549659729004, 0.08892311155796051]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
530,Case00_6.nii,"[147456.453125, 0.07426157593727112]",3295933.5,"[147456.0, 0.0]","[0.45835816860198975, 0.07426157593727112]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
641,Case00_7.nii,"[147456.46875, 0.06922753900289536]",3562901.5,"[147456.0, 0.0]","[0.47326910495758057, 0.06922753900289536]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
488,Case00_8.nii,"[147456.484375, 0.07835329324007034]",30915616.0,"[147456.0, 0.0]","[0.48013588786125183, 0.07835329324007034]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
686,Case00_9.nii,"[147456.46875, 0.09935422241687775]",10534884.0,"[147456.0, 0.0]","[0.47488945722579956, 0.09935422241687775]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
748,Case01_0.nii,"[147456.4375, 0.06213068217039108]",20815432.0,"[147456.0, 0.0]","[0.4389062523841858, 0.06213068217039108]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
620,Case01_1.nii,"[147456.4375, 0.05911549553275108]",19240090.0,"[147456.0, 0.0]","[0.42972421646118164, 0.05911549553275108]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
386,Case01_10.nii,"[141413.4375, 6042.94482421875]",9129296.0,"[141413.0, 6043.0]","[0.43225306272506714, 0.05508715286850929]",1.0,1.0,"[147455.94491284713, 0.05508715286850929]","[140225, 8000]","[147018.0, 4372.0]"
135,Case01_11.nii,"[140768.421875, 6687.94580078125]",57394516.0,"[140768.0, 6688.0]","[0.42900073528289795, 0.05439586937427521]",1.0,1.0,"[147455.94560413063, 0.05439586937427521]","[140225, 8000]","[147018.0, 4372.0]"
678,Case01_12.nii,"[140246.4375, 7209.9375]",70315408.0,"[140246.0, 7210.0]","[0.44006937742233276, 0.06239553540945053]",1.0,1.0,"[147455.9376044646, 0.06239553540945053]","[140225, 8000]","[147018.0, 4372.0]"
478,Case01_13.nii,"[140183.4375, 7272.9345703125]",65525272.0,"[140183.0, 7273.0]","[0.4349098205566406, 0.06522510200738907]",1.0,1.0,"[147455.934774898, 0.06522510200738907]","[140225, 8000]","[147018.0, 4372.0]"
501,Case01_14.nii,"[140084.4375, 7371.9501953125]",13970783.0,"[140084.0, 7372.0]","[0.4356324374675751, 0.04993569105863571]",1.0,1.0,"[147455.95006430894, 0.04993569105863571]","[140225, 8000]","[147018.0, 4372.0]"
669,Case01_15.nii,"[142534.4375, 4921.93994140625]",15056162.0,"[142534.0, 4922.0]","[0.4377390146255493, 0.05996701121330261]",1.0,1.0,"[147455.9400329888, 0.05996701121330261]","[140225, 8000]","[147018.0, 4372.0]"
160,Case01_16.nii,"[142650.4375, 4805.93505859375]",23876224.0,"[142650.0, 4806.0]","[0.43279868364334106, 0.06501240283250809]",1.0,1.0,"[147455.93498759717, 0.06501240283250809]","[140225, 8000]","[147018.0, 4372.0]"
377,Case01_17.nii,"[143225.4375, 4230.94140625]",18964080.0,"[143225.0, 4231.0]","[0.44013214111328125, 0.05879886820912361]",1.0,1.0,"[147455.9412011318, 0.05879886820912361]","[140225, 8000]","[147018.0, 4372.0]"
113,Case01_18.nii,"[143471.4375, 3984.926025390625]",23753776.0,"[143471.0, 3985.0]","[0.43263691663742065, 0.07403296232223511]",1.0,1.0,"[147455.92596703768, 0.07403296232223511]","[140225, 8000]","[147018.0, 4372.0]"
425,Case01_19.nii,"[143984.421875, 3471.927978515625]",27477032.0,"[143984.0, 3472.0]","[0.4256936311721802, 0.0719742402434349]",1.0,1.0,"[147455.92802575976, 0.0719742402434349]","[140225, 8000]","[147018.0, 4372.0]"
314,Case01_2.nii,"[147456.4375, 0.04834400862455368]",5221665.0,"[147456.0, 0.0]","[0.43727412819862366, 0.04834400862455368]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
711,Case01_20.nii,"[147456.4375, 0.07203074544668198]",0.0041,"[147456.0, 0.0]","[0.44031062722206116, 0.07203074544668198]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
465,Case01_21.nii,"[147456.4375, 0.08135753870010376]",0.0042,"[147456.0, 0.0]","[0.4374539852142334, 0.08135753870010376]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
365,Case01_22.nii,"[147456.4375, 0.040836937725543976]",27852612.0,"[147456.0, 0.0]","[0.4346765875816345, 0.040836937725543976]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
177,Case01_23.nii,"[147456.4375, 0.0628584623336792]",39664556.0,"[147456.0, 0.0]","[0.4388745129108429, 0.0628584623336792]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
181,Case01_24.nii,"[147456.4375, 0.06430468708276749]",8577510.0,"[147456.0, 0.0]","[0.44037675857543945, 0.06430468708276749]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
344,Case01_25.nii,"[147456.4375, 0.06737680733203888]",16504741.0,"[147456.0, 0.0]","[0.43507522344589233, 0.06737680733203888]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
469,Case01_26.nii,"[147456.4375, 0.07826291769742966]",10217720.0,"[147456.0, 0.0]","[0.436490923166275, 0.07826291769742966]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
694,Case01_27.nii,"[147456.4375, 0.07893659919500351]",6908790.0,"[147456.0, 0.0]","[0.4407629668712616, 0.07893659919500351]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
434,Case01_28.nii,"[147456.4375, 0.05969258397817612]",63130404.0,"[147456.0, 0.0]","[0.4440825879573822, 0.05969258397817612]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
3,Case01_3.nii,"[147456.421875, 0.06474678963422775]",4401638.5,"[147456.0, 0.0]","[0.42111504077911377, 0.06474678963422775]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
7,Case01_4.nii,"[147456.4375, 0.055596571415662766]",5873244.5,"[147456.0, 0.0]","[0.4377416968345642, 0.055596571415662766]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
300,Case01_5.nii,"[147456.421875, 0.06169617921113968]",12206459.0,"[147456.0, 0.0]","[0.42922645807266235, 0.06169617921113968]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
625,Case01_6.nii,"[147456.421875, 0.054108165204524994]",31445940.0,"[147456.0, 0.0]","[0.42002803087234497, 0.054108165204524994]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
736,Case01_7.nii,"[146227.4375, 1228.9459228515625]",27782354.0,"[146227.0, 1229.0]","[0.4409440755844116, 0.05406147241592407]",1.0,1.0,"[147455.94593852758, 0.05406147241592407]","[140225, 8000]","[147018.0, 4372.0]"
593,Case01_8.nii,"[144714.4375, 2741.940185546875]",27037292.0,"[144714.0, 2742.0]","[0.4353824257850647, 0.059812046587467194]",1.0,1.0,"[147455.9401879534, 0.059812046587467194]","[140225, 8000]","[147018.0, 4372.0]"
766,Case01_9.nii,"[142997.453125, 4458.94091796875]",14327834.0,"[142997.0, 4459.0]","[0.45213016867637634, 0.058896154165267944]",1.0,1.0,"[147455.94110384583, 0.058896154165267944]","[140225, 8000]","[147018.0, 4372.0]"
435,Case02_0.nii,"[147456.421875, 0.04258304834365845]",63130404.0,"[147456.0, 0.0]","[0.4273647367954254, 0.04258304834365845]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
726,Case02_1.nii,"[147456.421875, 0.039033442735672]",64424304.0,"[147456.0, 0.0]","[0.42324769496917725, 0.039033442735672]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
460,Case02_10.nii,"[147456.421875, 0.0389469712972641]",979028.75,"[147456.0, 0.0]","[0.423933744430542, 0.0389469712972641]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
706,Case02_11.nii,"[147456.421875, 0.037717483937740326]",7962824.5,"[147456.0, 0.0]","[0.42739102244377136, 0.037717483937740326]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
171,Case02_12.nii,"[147456.4375, 0.04502870887517929]",34619416.0,"[147456.0, 0.0]","[0.4350821375846863, 0.04502870887517929]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
357,Case02_13.nii,"[147456.421875, 0.043804459273815155]",29160708.0,"[147456.0, 0.0]","[0.42829346656799316, 0.043804459273815155]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
349,Case02_14.nii,"[147456.4375, 0.03870962932705879]",0.0028,"[147456.0, 0.0]","[0.44234466552734375, 0.03870962932705879]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
186,Case02_15.nii,"[147456.453125, 0.05062698572874069]",7314142.0,"[147456.0, 0.0]","[0.446153461933136, 0.05062698572874069]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
698,Case02_16.nii,"[147456.453125, 0.060150258243083954]",1397050.75,"[147456.0, 0.0]","[0.44774436950683594, 0.060150258243083954]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
473,Case02_17.nii,"[146386.453125, 1069.9371337890625]",1173557.625,"[146386.0, 1070.0]","[0.4490264058113098, 0.06281282007694244]",0.9999,0.9999,"[147455.93718717992, 0.06281282007694244]","[140225, 8000]","[147018.0, 4372.0]"
733,Case02_18.nii,"[146109.4375, 1346.927978515625]",4242284.0,"[146109.0, 1347.0]","[0.4431895911693573, 0.07202372699975967]",0.9999,0.9999,"[147455.927976273, 0.07202372699975967]","[140225, 8000]","[147018.0, 4372.0]"
443,Case02_19.nii,"[145531.46875, 1924.93798828125]",926346.5625,"[145531.0, 1925.0]","[0.4758113920688629, 0.062049128115177155]",1.0,1.0,"[147455.93795087188, 0.062049128115177155]","[140225, 8000]","[147018.0, 4372.0]"
194,Case02_2.nii,"[147456.421875, 0.03950772434473038]",0.0067,"[147456.0, 0.0]","[0.42762187123298645, 0.03950772434473038]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
150,Case02_20.nii,"[144370.453125, 3085.931396484375]",9491836.0,"[144370.0, 3086.0]","[0.457531213760376, 0.06854263693094254]",1.0,1.0,"[147455.93145736307, 0.06854263693094254]","[140225, 8000]","[147018.0, 4372.0]"
400,Case02_21.nii,"[143155.453125, 4300.94873046875]",19226708.0,"[143155.0, 4301.0]","[0.4514482021331787, 0.05120270699262619]",1.0,1.0,"[147455.948797293, 0.05120270699262619]","[140225, 8000]","[147018.0, 4372.0]"
492,Case02_22.nii,"[142459.453125, 4996.94677734375]",11106433.0,"[142459.0, 4997.0]","[0.45129239559173584, 0.05331558361649513]",1.0,1.0,"[147455.94668441638, 0.05331558361649513]","[140225, 8000]","[147018.0, 4372.0]"
690,Case02_23.nii,"[141757.453125, 5698.94921875]",48567564.0,"[141757.0, 5699.0]","[0.4543212652206421, 0.05072922259569168]",1.0,1.0,"[147455.9492707774, 0.05072922259569168]","[140225, 8000]","[147018.0, 4372.0]"
666,Case02_24.nii,"[141130.453125, 6325.94775390625]",10418466.0,"[141130.0, 6326.0]","[0.44570574164390564, 0.052141934633255005]",1.0,1.0,"[147455.94785806537, 0.052141934633255005]","[140225, 8000]","[147018.0, 4372.0]"
499,Case02_25.nii,"[140892.453125, 6563.95068359375]",10771362.0,"[140892.0, 6564.0]","[0.4458239674568176, 0.04948874190449715]",1.0,1.0,"[147455.9505112581, 0.04948874190449715]","[140225, 8000]","[147018.0, 4372.0]"
374,Case02_26.nii,"[140513.4375, 6942.94677734375]",14281594.0,"[140513.0, 6943.0]","[0.4390959143638611, 0.05326331406831741]",1.0,1.0,"[147455.94673668593, 0.05326331406831741]","[140225, 8000]","[147018.0, 4372.0]"
158,Case02_27.nii,"[140464.4375, 6991.951171875]",12809327.0,"[140464.0, 6992.0]","[0.4441085457801819, 0.048644255846738815]",1.0,1.0,"[147455.95135574415, 0.048644255846738815]","[140225, 8000]","[147018.0, 4372.0]"
422,Case02_28.nii,"[140567.453125, 6888.96044921875]",70825440.0,"[140567.0, 6889.0]","[0.4522630274295807, 0.039359744638204575]",1.0,1.0,"[147455.96064025536, 0.039359744638204575]","[140225, 8000]","[147018.0, 4372.0]"
106,Case02_29.nii,"[140437.4375, 7018.95751953125]",14082616.0,"[140437.0, 7019.0]","[0.44485196471214294, 0.04225752130150795]",1.0,1.0,"[147455.9577424787, 0.04225752130150795]","[140225, 8000]","[147018.0, 4372.0]"
330,Case02_3.nii,"[147456.4375, 0.041917119175195694]",60046508.0,"[147456.0, 0.0]","[0.43297863006591797, 0.041917119175195694]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
255,Case02_30.nii,"[140740.4375, 6715.95068359375]",28409782.0,"[140740.0, 6716.0]","[0.4385349154472351, 0.04940727353096008]",1.0,1.0,"[147455.95059272647, 0.04940727353096008]","[140225, 8000]","[147018.0, 4372.0]"
65,Case02_31.nii,"[140199.4375, 7256.9619140625]",46892080.0,"[140199.0, 7257.0]","[0.4433966279029846, 0.03797499090433121]",1.0,1.0,"[147455.9620250091, 0.03797499090433121]","[140225, 8000]","[147018.0, 4372.0]"
784,Case02_32.nii,"[140441.4375, 7014.95166015625]",27178316.0,"[140441.0, 7015.0]","[0.44399866461753845, 0.048292629420757294]",1.0,1.0,"[147455.95170737058, 0.048292629420757294]","[140225, 8000]","[147018.0, 4372.0]"
585,Case02_33.nii,"[141506.4375, 5949.951171875]",23170896.0,"[141506.0, 5950.0]","[0.44471925497055054, 0.04876652732491493]",1.0,1.0,"[147455.95123347268, 0.04876652732491493]","[140225, 8000]","[147018.0, 4372.0]"
565,Case02_34.nii,"[143336.421875, 4119.943359375]",17560856.0,"[143336.0, 4120.0]","[0.4272420108318329, 0.05642929673194885]",1.0,1.0,"[147455.94357070327, 0.05642929673194885]","[140225, 8000]","[147018.0, 4372.0]"
791,Case02_35.nii,"[144150.4375, 3305.940185546875]",2732310.25,"[144150.0, 3306.0]","[0.43207311630249023, 0.05991661921143532]",1.0,1.0,"[147455.9400833808, 0.05991661921143532]","[140225, 8000]","[147018.0, 4372.0]"
42,Case02_36.nii,"[146425.4375, 1030.9365234375]",13355187.0,"[146425.0, 1031.0]","[0.4398062527179718, 0.06348570436239243]",0.9999,0.9999,"[147455.93651429564, 0.06348570436239243]","[140225, 8000]","[147018.0, 4372.0]"
263,Case02_37.nii,"[147456.4375, 0.058689914643764496]",5722077.0,"[147456.0, 0.0]","[0.4324278235435486, 0.058689914643764496]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
88,Case02_38.nii,"[147456.4375, 0.07357173413038254]",18659136.0,"[147456.0, 0.0]","[0.4405074417591095, 0.07357173413038254]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
216,Case02_39.nii,"[147456.421875, 0.06543945521116257]",25109312.0,"[147456.0, 0.0]","[0.4283970594406128, 0.06543945521116257]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
326,Case02_4.nii,"[147456.4375, 0.03416101634502411]",52330204.0,"[147456.0, 0.0]","[0.43827277421951294, 0.03416101634502411]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
822,Case02_40.nii,"[147456.421875, 0.07566938549280167]",4381257.5,"[147456.0, 0.0]","[0.4223313629627228, 0.07566938549280167]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
536,Case02_41.nii,"[147456.421875, 0.06483758240938187]",5394426.0,"[147456.0, 0.0]","[0.4188184440135956, 0.06483758240938187]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
233,Case02_42.nii,"[147456.421875, 0.06427433341741562]",9808313.0,"[147456.0, 0.0]","[0.42065736651420593, 0.06427433341741562]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
73,Case02_43.nii,"[147456.421875, 0.06612325459718704]",2658420.75,"[147456.0, 0.0]","[0.4212911128997803, 0.06612325459718704]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
96,Case02_44.nii,"[147456.421875, 0.06061786040663719]",23839066.0,"[147456.0, 0.0]","[0.42334529757499695, 0.06061786040663719]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
227,Case02_45.nii,"[147456.421875, 0.0489317886531353]",17570216.0,"[147456.0, 0.0]","[0.41541552543640137, 0.0489317886531353]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
557,Case02_46.nii,"[147456.40625, 0.05626107007265091]",2012670.0,"[147456.0, 0.0]","[0.41371089220046997, 0.05626107007265091]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
814,Case02_47.nii,"[147456.40625, 0.041291043162345886]",2571311.25,"[147456.0, 0.0]","[0.41387996077537537, 0.041291043162345886]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
573,Case02_48.nii,"[147456.421875, 0.040426045656204224]",37484456.0,"[147456.0, 0.0]","[0.42527955770492554, 0.040426045656204224]",,1.0,"[147456.0, 0.0]","[148225, 0]","[147018.0, 0.0]"
